prec_no,station_name,block_no,station_type
50,網代,47668,s
50,菊川牧之原,1335,a
50,静岡,47656,s
50,静岡空港,1601,a
51,セントレア,1555,a
51,伊良湖,47653,s
51,南知多,0984,a
51,名古屋,47636,s
51,大府,1638,a
51,岡崎,0467,a
51,愛西,1346,a
51,新城,1541,a
51,東海,0465,a
51,稲武,0982,a
51,蒲郡,1344,a
51,豊山,0461,a
51,豊橋,0470,a
51,豊田,0464,a
51,鳳来,1341,a
52,中津川,0494,a
52,八幡,0485,a
52,六厩,1305,a
52,多治見,1058,a
52,大垣,0496,a
52,宮之前,1311,a
52,宮地,1066,a
52,岐阜,47632,s
52,恵那,0493,a
52,揖斐川,1301,a
52,栃尾,1061,a
52,樽見,0486,a
52,河合,1308,a
52,白川,1306,a
52,白鳥,0482,a
52,神岡,0473,a
52,美濃,1057,a
52,美濃加茂,0491,a
52,萩原,0483,a
52,金山,0487,a
52,長滝,1299,a
52,関ケ原,0495,a
52,高山,47617,s
52,黒川,1313,a
53,上野,47649,s
53,亀山,0503,a
53,南伊勢,1258,a
53,四日市,47684,s
53,小俣,0509,a
53,尾鷲,47663,s
53,桑名,0500,a
53,津,47651,s
53,熊野,0514,a
53,熊野新鹿,1532,a
53,粥見,0510,a
53,紀伊長島,1349,a
53,鳥羽,1230,a
54,三条,0525,a
54,下関,1060,a
54,両津,0518,a
54,中条,1318,a
54,十日町,0537,a
54,大潟,1302,a
54,守門,0997,a
54,安塚,0536,a
54,寺泊,0524,a
54,小出,0534,a
54,巻,0522,a
54,弾崎,1315,a
54,新津,0521,a
54,新潟,47604,s
54,村上,0515,a
54,松浜,1469,a
54,柏崎,0532,a
54,津南,0543,a
54,津川,0527,a
54,湯沢,0544,a
54,相川,47602,s
54,秋津,1514,a
54,粟島,0995,a
54,糸魚川,0539,a
54,羽茂,0996,a
54,能生,0540,a
54,長岡,0529,a
54,関山,0998,a
54,高田,47612,s
55,上市,0553,a
55,伏木,47606,s
55,八尾,0555,a
55,南砺高宮,0554,a
55,富山,47607,s
55,朝日,0546,a
55,氷見,1309,a
55,砺波,0552,a
55,秋ヶ島,1533,a
55,魚津,0547,a
56,かほく,0567,a
56,七尾,0565,a
56,三井,1544,a
56,加賀中津原,0571,a
56,小松,1324,a
56,志賀,0564,a
56,珠洲,0560,a
56,白山河内,0973,a
56,羽咋,0566,a
56,輪島,47600,s
56,金沢,47605,s
57,三国,1071,a
57,今庄,0577,a
57,勝山,1226,a
57,大野,0573,a
57,小浜,0579,a
57,敦賀,47631,s
57,春江,1537,a
57,福井,47616,s
57,美浜,1010,a
57,越廼,1316,a
60,今津,0580,a
60,伊吹山,47751,s
60,信楽,0964,a
60,南小松,1083,a
60,土山,0587,a
60,大津,0586,a
60,彦根,47761,s
60,東近江,0963,a
60,米原,1524,a
60,長浜,0976,a
61,京田辺,0598,a
61,京都,47759,s
61,園部,0596,a
61,宮津,0589,a
61,福知山,0593,a
61,美山,1303,a
61,舞鶴,47750,s
61,間人,0965,a
62,八尾,1470,a
62,堺,1062,a
62,大阪,47772,s
62,枚方,1065,a
62,熊取,0606,a
62,生駒山,0604,a
62,能勢,0600,a
62,豊中,0602,a
62,関空島,1471,a
63,一宮,0615,a
63,三木,1227,a
63,三田,0969,a
63,上郡,0619,a
63,兎和野高原,0977,a
63,南淡,1337,a
63,和田山,0612,a
63,姫路,47769,s
63,家島,0624,a
63,明石,0625,a
63,柏原,0614,a
63,洲本,47776,s
63,生野,0613,a
63,神戸,47770,s
63,神戸空港,1587,a
63,福崎,0968,a
63,西脇,0956,a
63,豊岡,47747,s
63,郡家,0970,a
63,香住,0607,a
64,上北山,0957,a
64,五條,0635,a
64,大宇陀,0633,a
64,奈良,47780,s
64,針,0630,a
64,風屋,1228,a
65,かつらぎ,1342,a
65,南紀白浜,1589,a
65,友ケ島,1457,a
65,和歌山,47777,s
65,川辺,1485,a
65,御坊,0647,a
65,新宮,0649,a
65,栗栖川,0971,a
65,清水,1063,a
65,潮岬,47778,s
65,白浜,0650,a
65,西川,1347,a
65,高野山,0645,a
65,龍神,1089,a
66,上長田,1328,a
66,久世,0656,a
66,今岡,0655,a
66,倉敷,0669,a
66,千屋,1330,a
66,和気,0664,a
66,奈義,1140,a
66,岡山,47768,s
66,新見,0658,a
66,日応寺,1531,a
66,津山,47756,s
66,玉野,0670,a
66,福渡,0663,a
66,笠岡,0919,a
66,虫明,0668,a
66,高梁,0930,a
67,三入,0950,a
67,三次,0674,a
67,世羅,0681,a
67,久比,0953,a
67,加計,0677,a
67,呉,47766,s
67,呉市蒲刈,1606,a
67,大朝,0676,a
67,大竹,0688,a
67,広島,47765,s
67,庄原,0675,a
67,府中,0951,a
67,廿日市津田,1326,a
67,本郷,1472,a
67,東広島,0683,a
67,油木,1325,a
67,生口島,0687,a
67,福山,47767,s
67,竹原,0686,a
67,高野,0947,a
68,六日市,1322,a
68,出雲,1310,a
68,吉賀,1592,a
68,大田,0697,a
68,川本,0701,a
68,弥栄,1321,a
